"country","avg_life_exp","avg_cardio_deaths","avg_neonatal_deaths","avg_hiv_deaths","corr_cardio_life_exp","corr_neonatal_life_exp","corr_hiv_life_exp"
"Afghanistan",58.19375,54560.5625,24004.1875,155.8125,0.0711345695207225,-0.133968571615539,-0.387034116589375
"Albania",75.15625,9534.625,412.375,2,0.0711345695207225,-0.133968571615539,-0.387034116589375
"Algeria",74.2090909090909,73752.0909090909,12397.3636363636,296.090909090909,0.0711345695207225,-0.133968571615539,-0.387034116589375
"Angola",50.675,19604,20251,12216.125,0.0711345695207225,-0.133968571615539,-0.387034116589375
"Argentina",75.2384615384615,91607,5029.53846153846,1725.84615384615,0.0711345695207225,-0.133968571615539,-0.387034116589375
"Armenia",73.3066666666667,13228.0666666667,356.666666666667,9,0.0711345695207225,-0.133968571615539,-0.387034116589375
"Australia",81.9071428571429,45956.2142857143,621.5,108.714285714286,0.0711345695207225,-0.133968571615539,-0.387034116589375
"Austria",81.48,32133.4,155.266666666667,48.6,0.0711345695207225,-0.133968571615539,-0.387034116589375
"Azerbaijan",71.1461538461539,36953.9230769231,2989.15384615385,46.4615384615385,0.0711345695207225,-0.133968571615539,-0.387034116589375
"Bangladesh",69.9666666666667,230262.75,80518.1666666667,204.916666666667,0.0711345695207225,-0.133968571615539,-0.387034116589375
"Belarus",69.7466666666667,81245.4666666667,325.866666666667,294.733333333333,0.0711345695207225,-0.133968571615539,-0.387034116589375
"Belgium",80.6533333333333,33190.9333333333,223.8,79.6,0.0711345695207225,-0.133968571615539,-0.387034116589375
"Belize",69.1533333333333,321.733333333333,68.9333333333333,72,0.0711345695207225,-0.133968571615539,-0.387034116589375
"Benin",57.7076923076923,8620.15384615385,11453.3076923077,3657.38461538462,0.0711345695207225,-0.133968571615539,-0.387034116589375
"Bhutan",65.92,911.2,469.533333333333,23.5333333333333,0.0711345695207225,-0.133968571615539,-0.387034116589375
"Bosnia and Herzegovina",76.1818181818182,17126.6363636364,130.545454545455,2.27272727272727,0.0711345695207225,-0.133968571615539,-0.387034116589375
"Botswana",55.4066666666667,2876.46666666667,986.133333333333,10979.2666666667,0.0711345695207225,-0.133968571615539,-0.387034116589375
"Brazil",73.2733333333333,325061.466666667,52946.2666666667,15084.3333333333,0.0711345695207225,-0.133968571615539,-0.387034116589375
"Bulgaria",72.74,81036.2,288.733333333333,70.8,0.0711345695207225,-0.133968571615539,-0.387034116589375
"Burkina Faso",57.2333333333333,16912.6666666667,16153.3333333333,6891.44444444444,0.0711345695207225,-0.133968571615539,-0.387034116589375
"Burundi",56.0272727272727,8473.36363636364,8686.90909090909,8778.09090909091,0.0711345695207225,-0.133968571615539,-0.387034116589375
"Cambodia",66.4333333333333,22650.2222222222,5936.88888888889,3753.33333333333,0.0711345695207225,-0.133968571615539,-0.387034116589375
"Cameroon",54.86,21218.6,16761.7,35387.3,0.0711345695207225,-0.133968571615539,-0.387034116589375
"Canada",82.2333333333333,69895.5833333333,1066.33333333333,378.416666666667,0.0711345695207225,-0.133968571615539,-0.387034116589375
"Central African Republic",51.4166666666667,6173.33333333333,5836.33333333333,9205.66666666667,0.0711345695207225,-0.133968571615539,-0.387034116589375
"Chad",52.2857142857143,11603.2857142857,14386.4285714286,4905,0.0711345695207225,-0.133968571615539,-0.387034116589375
"Chile",79.9444444444444,25069.3333333333,855.888888888889,472.666666666667,0.0711345695207225,-0.133968571615539,-0.387034116589375
"China",74.14,3533111.73333333,108043.866666667,15038.9333333333,0.0711345695207225,-0.133968571615539,-0.387034116589375
"Colombia",73.1866666666667,55390.6666666667,8358.66666666667,2569.93333333333,0.0711345695207225,-0.133968571615539,-0.387034116589375
"Comoros",61.9416666666667,885.25,579.75,1,0.0711345695207225,-0.133968571615539,-0.387034116589375
"Costa Rica",78.5266666666667,4696.26666666667,364.6,159.133333333333,0.0711345695207225,-0.133968571615539,-0.387034116589375
